DEALER DEAL;PLAYER DEAL;DEALER CALL FLOP;PLAYER CALL FLOP;DEALER BET TURN;PLAYER BET TURN;DEALER BET RIVER;PLAYER BET RIVER;WINNER;COUNT;PERCENT
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;STRAIGHT;Player;1;0.001%
ONE_PAIR;HIGH_CARD;FOUR_OF_A_KIND;ONE_PAIR;FOUR_OF_A_KIND;ONE_PAIR;FOUR_OF_A_KIND;STRAIGHT;Player;1;0.001%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;FULL_HOUSE;FULL_HOUSE;Player;33;0.033%
HIGH_CARD;HIGH_CARD;ONE_PAIR;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;Player;42;0.042%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;1098;1.098%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;FULL_HOUSE;Player;91;0.091%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;FLUSH;FLUSH;Player;26;0.026%
HIGH_CARD;HIGH_CARD;THREE_OF_A_KIND;TWO_PAIR;FULL_HOUSE;TWO_PAIR;FULL_HOUSE;TWO_PAIR;Player;13;0.013%
HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;Player;4;0.004%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;FLUSH;ONE_PAIR;Player;2;0.002%
ONE_PAIR;HIGH_CARD;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;Player;4;0.004%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;329;0.329%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;5;0.005%
HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;HIGH_CARD;ONE_PAIR;Player;7;0.007%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;FLUSH;STRAIGHT;FLUSH;Player;1;0.001%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;FLUSH;HIGH_CARD;FLUSH;Player;1;0.001%
ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;FLUSH;ONE_PAIR;FLUSH;ONE_PAIR;Player;3;0.003%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;FLUSH;FULL_HOUSE;Player;2;0.002%
HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;Player;3;0.003%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;Draw Game;8;0.008%
HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;Player;40;0.04%
